120,165
120,156
129,147
129,138
129,129
102,165
111,201
147,201
147,183
156,183
174,183
192,210
192,219
192,228
219,228
228,210
237,174
246,174
255,174
264,165
273,165
309,156
309,147
309,138
309,129
309,120
300,120
318,120
318,129
318,138
318,147
318,156
318,165
318,174
318,183
318,192
318,201
318,210
318,219
327,219
327,210
327,201
327,228
327,237
327,246
318,255
318,264
318,273
327,282
318,291
318,300
318,309
318,318
318,327
318,336
318,345
318,354
318,363
300,354
300,345
300,336
282,336
282,363
282,372
273,372
273,381
264,381
255,390
246,390
201,390
192,390
192,381
183,381
174,381
165,381
156,381
147,390
138,390
129,390
129,381
138,372
138,363
111,363
111,372
138,327
129,309
120,309
129,300
165,291
174,282
183,300
183,318
174,318
165,318
174,327
174,336
174,345
192,318
201,291
210,291
210,282
201,273
228,273
228,264
237,246
246,255
237,282
246,291
255,291
264,291
273,300
291,363
345,354
354,345
354,309
372,273
363,246
354,246
345,237
363,237
372,237
381,237
381,228
390,228
390,219
327,165
273,219
210,345
