start
10,26
26,34
34,34
42,162
50,82
50,90
50,170
50,218
58,34
58,50
58,58
58,66
58,74
58,98
58,106
58,154
58,218
66,34
66,50
66,58
66,66
66,114
74,34
74,50
74,58
82,34
82,50
90,34
90,50
98,50
98,138
98,146
98,154
98,162
98,178
106,50
106,106
106,138
106,146
106,154
106,162
114,50
114,82
114,138
114,186
114,210
122,34
122,50
122,122
122,178
122,202
130,26
130,34
130,42
130,66
130,90
130,186
138,50
138,58
138,130
138,138
138,186
138,194
146,82
146,130
146,170
146,202
162,202
162,210
162,218
170,90
170,130
170,162
170,194
178,90
178,122
178,138
178,170
178,178
178,194
178,218
186,114
186,186
186,218
194,90
194,98
194,122
194,130
194,178
194,186
194,210
202,122
202,162
202,170
202,202
202,210
210,138
210,154
210,210
218,90
218,98
226,74
242,98
250,18
250,26
250,98
258,26
258,74
258,82
258,90
266,18
266,42
266,218
274,18
274,74
274,98
282,18
282,42
282,66
282,74
282,186
290,18
290,34
290,42
290,154
298,18
298,154
306,18
306,42
306,98
306,106
306,162
306,194
314,18
314,42
314,114
314,162
314,194
314,234
end
